ip,size,status0,status1,status2,status3,status4,status5,status6,status7,status8,metodo0,metodo1,metodo2,metodo3,metodo4,tamanho_recurso,detected
64233173166,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,3
12018879166,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,37,1
64233173166,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,3
64233173166,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,46,3
11412268152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114124172136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,37,1
114124172136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,1
114124172136,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,46,2
11517820314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,37,3
64233173168,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70,3
64233173168,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,46,3
114124172136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88,1
64233173166,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,70,3
64233173163,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,3
64233173163,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,70,3
64233173168,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,3
11517820314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,37,3
114124172136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81,1
64233173168,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34,3
